counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played
197;0;0;104;16;0.16;5
198;0;0;104;17;0.17;5
199;0;0;108;21;0.21;5
200;0;0;104;17;0.17;5
201;0;0;104;20;0.2;5
202;0;0;112;18;0.18;5
203;0;0;116;14;0.14;5
204;0;0;108;22;0.22;5
205;0;0;108;14;0.14;5
206;0;0;112;15;0.15;5
207;0;0;108;18;0.18;5
208;0;0;100;14;0.14;5
209;0;0;96;16;0.16;5
210;0;0;76;8;0.08;4
211;0;0;80;7;0.07;4
212;0;0;92;22;0.22;4
213;0;0;356;18;0.18;1
214;0;0;136;21;0.21;6
215;0;0;124;28;0.28;6
216;0;0;124;14;0.14;6
counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played
0;156;187.2;0;0;0;1
1;0;0;144;12;0.12;10
2;0;0;144;18;0.18;10
3;0;0;140;9;0.09;10
4;0;0;116;11;0.11;8
5;0;0;128;25;0.25;9
6;0;0;128;22;0.22;9
7;0;0;124;22;0.22;9
8;0;0;120;28;0.28;9
9;0;0;136;13;0.13;10
10;0;0;136;14;0.14;10
11;0;0;136;13;0.13;10
12;0;0;132;31;0.31;9
13;0;0;132;18;0.18;9
14;0;0;136;17;0.17;10
15;0;0;144;16;0.16;10
16;0;0;136;14;0.14;10
17;0;0;136;20;0.2;10
18;0;0;136;17;0.17;10
19;0;0;140;18;0.18;10
20;0;0;136;19;0.19;10
21;0;0;132;30;0.3;9
22;0;0;136;25;0.25;10
23;0;0;132;20;0.2;9
24;0;0;140;19;0.19;10
25;0;0;140;18;0.18;10
26;0;0;140;19;0.19;10
27;0;0;132;13;0.13;9
28;0;0;140;22;0.22;10
29;0;0;132;26;0.26;9
30;0;0;136;25;0.25;10
31;0;0;136;16;0.16;10
32;0;0;136;23;0.23;10
33;0;0;124;23;0.23;9
34;0;0;136;20;0.2;10
35;0;0;128;23;0.23;9
36;0;0;120;8;0.08;9
37;0;0;124;21;0.21;9
38;0;0;132;16;0.16;9
39;0;0;132;25;0.25;9
40;0;0;136;21;0.21;10
41;0;0;136;20;0.2;10
42;0;0;128;17;0.17;9
43;0;0;136;23;0.23;10
44;0;0;128;16;0.16;9
45;0;0;136;16;0.16;10
46;0;0;128;14;0.14;9
47;0;0;124;14;0.14;9
48;0;0;132;10;0.1;9
49;0;0;128;14;0.14;9
50;0;0;124;18;0.18;9
51;0;0;128;22;0.22;9
52;0;0;132;17;0.17;9
53;0;0;132;22;0.22;9
54;0;0;136;24;0.24;10
55;0;0;160;14;0.14;11
56;0;0;144;23;0.23;10
57;0;0;180;24;0.24;1
58;0;0;188;18;0.18;1
59;0;0;168;22;0.22;12
60;0;0;148;21;0.21;10
61;0;0;144;13;0.13;10
62;0;0;132;21;0.21;9
63;0;0;132;20;0.2;9
64;0;0;124;15;0.15;9
65;0;0;124;15;0.15;9
66;0;0;124;9;0.09;9
67;0;0;128;25;0.25;9
68;0;0;128;16;0.16;9
69;0;0;128;15;0.15;9
70;0;0;124;17;0.17;9
71;0;0;132;13;0.13;9
72;0;0;124;13;0.13;9
73;0;0;128;15;0.15;9
74;0;0;120;24;0.24;9
75;0;0;124;11;0.11;9
76;0;0;128;30;0.3;9
77;0;0;128;15;0.15;9
78;0;0;132;23;0.23;9
79;0;0;132;21;0.21;9
80;0;0;124;18;0.18;9
81;0;0;112;16;0.16;8
82;0;0;120;21;0.21;9
83;0;0;116;19;0.19;8
84;0;0;120;13;0.13;9
85;0;0;116;15;0.15;8
86;0;0;116;20;0.2;8
87;0;0;116;12;0.12;8
88;0;0;116;32;0.32;8
89;0;0;116;15;0.15;8
90;0;0;116;9;0.09;8
91;0;0;116;12;0.12;8
92;0;0;204;9;0.09;1
93;0;0;132;15;0.15;9
94;0;0;124;11;0.11;9
95;0;0;132;14;0.14;9
96;0;0;140;11;0.11;10
97;0;0;136;12;0.12;10
98;0;0;144;10;0.1;10
99;0;0;128;8;0.08;9
100;0;0;128;8;0.08;9
101;0;0;128;9;0.09;9
102;0;0;144;13;0.13;10
103;0;0;144;9;0.09;10
104;0;0;144;15;0.15;10
105;0;0;148;9;0.09;10
106;0;0;136;11;0.11;10
